0;0xaae6;FUN_InstallCrack
1;0xb074;SYS_Init
2;0xb23a;SYS_FindSTE
3;0xb7a2;SYS_InitKeyboard
4;0xb390;SYS_InitTimers
5;0xb5dc;io_linepal
6;0xb2d0;iniline
7;0xb22a;INT_ExceptionVector0x45
8;0xb22a;INT_ExceptionVector0x45
9;0xb382;itbl0
10;0xb22a;INT_ExceptionVector0x45
11;0xb22a;INT_ExceptionVector0x45
12;0xb22a;INT_ExceptionVector0x45
13;0xb22a;INT_ExceptionVector0x45
14;0xb382;itbl0
15;0xb22a;INT_ExceptionVector0x45
16;0xb22a;INT_ExceptionVector0x45
17;0xb22a;INT_ExceptionVector0x45
18;0xb22a;INT_ExceptionVector0x45
19;0xb22a;INT_ExceptionVector0x45
20;0xb22a;INT_ExceptionVector0x45
21;0xb22a;INT_ExceptionVector0x45
22;0xb22a;INT_ExceptionVector0x45
23;0xb22a;INT_ExceptionVector0x45
24;0xb68e;SYS_InitScreen
25;0xb25c;SYS_InitLocale
26;0xb228;INT_ExceptionVector0x18
27;0xb8b4;SYS_Random
28;0xb884;io_shiftkey
29;0xb884;io_shiftkey
30;0xb884;io_shiftkey
31;0xb770;setphysic
32;0xb7ee;SYS_GetMouse
33;0xb812;SYS_Joystick
34;0xb884;io_shiftkey
35;0xb884;io_shiftkey
36;0xb884;io_shiftkey
37;0xb7ee;SYS_GetMouse
38;0xb812;SYS_Joystick
39;0xb884;io_shiftkey
40;0xb884;io_shiftkey
41;0xb884;io_shiftkey
42;0xb770;setphysic
43;0xb7ee;SYS_GetMouse
44;0xb812;SYS_Joystick
45;0xb884;io_shiftkey
46;0xb884;io_shiftkey
47;0xb884;io_shiftkey
48;0xb7ee;SYS_GetMouse
49;0xb812;SYS_Joystick
50;0xb884;io_shiftkey
51;0xb884;io_shiftkey
52;0xb884;io_shiftkey
53;0xb770;setphysic
54;0xb7ee;SYS_GetMouse
55;0xb812;SYS_Joystick
56;0xb884;io_shiftkey
57;0xb884;io_shiftkey
58;0xb884;io_shiftkey
59;0xb7ee;SYS_GetMouse
60;0xb812;SYS_Joystick
61;0xb884;io_shiftkey
62;0xb884;io_shiftkey
63;0xb884;io_shiftkey
64;0xb770;setphysic
65;0xb7ee;SYS_GetMouse
66;0xb812;SYS_Joystick
67;0xb884;io_shiftkey
68;0xb884;io_shiftkey
69;0xb884;io_shiftkey
70;0xb7ee;SYS_GetMouse
71;0xb812;SYS_Joystick
72;0xb884;io_shiftkey
73;0xb884;io_shiftkey
74;0xb884;io_shiftkey
75;0xb770;setphysic
76;0xb7ee;SYS_GetMouse
77;0xb812;SYS_Joystick
78;0xb884;io_shiftkey
79;0xb884;io_shiftkey
80;0xb884;io_shiftkey
81;0xb7ee;SYS_GetMouse
82;0xb812;SYS_Joystick
83;0xb884;io_shiftkey
84;0xb884;io_shiftkey
85;0xb884;io_shiftkey
86;0xb770;setphysic
87;0xb7ee;SYS_GetMouse
88;0xb812;SYS_Joystick
89;0xb884;io_shiftkey
90;0xb884;io_shiftkey
91;0xb884;io_shiftkey
92;0xb7ee;SYS_GetMouse
93;0xb812;SYS_Joystick
94;0xb884;io_shiftkey
95;0xb884;io_shiftkey
96;0xb884;io_shiftkey
97;0xb7ee;SYS_GetMouse
98;0xb812;SYS_Joystick
99;0xb884;io_shiftkey
100;0xb884;io_shiftkey
101;0xb884;io_shiftkey
102;0xb770;setphysic
103;0xb7ee;SYS_GetMouse
104;0xb812;SYS_Joystick
105;0xb884;io_shiftkey
106;0xb884;io_shiftkey
107;0xb884;io_shiftkey
108;0xb7ee;SYS_GetMouse
109;0xb812;SYS_Joystick
110;0xb884;io_shiftkey
111;0xb884;io_shiftkey
112;0xb884;io_shiftkey
113;0xb7ee;SYS_GetMouse
114;0xb812;SYS_Joystick
115;0xb884;io_shiftkey
116;0xb884;io_shiftkey
117;0xb884;io_shiftkey
118;0xb770;setphysic
119;0xb7ee;SYS_GetMouse
120;0xb812;SYS_Joystick
121;0xb884;io_shiftkey
122;0xb884;io_shiftkey
123;0xb884;io_shiftkey
124;0xb7ee;SYS_GetMouse
125;0xb812;SYS_Joystick
126;0xb884;io_shiftkey
127;0xb884;io_shiftkey
128;0xb884;io_shiftkey
129;0xb7ee;SYS_GetMouse
130;0xb812;SYS_Joystick
131;0xb884;io_shiftkey
132;0xb884;io_shiftkey
133;0xb884;io_shiftkey
134;0xb770;setphysic
135;0xb7ee;SYS_GetMouse
136;0xb812;SYS_Joystick
137;0xb884;io_shiftkey
138;0xb884;io_shiftkey
139;0xb884;io_shiftkey
140;0xb7ee;SYS_GetMouse
141;0xb812;SYS_Joystick
142;0xb884;io_shiftkey
143;0xb884;io_shiftkey
144;0xb884;io_shiftkey
145;0xb7ee;SYS_GetMouse
146;0xb812;SYS_Joystick
147;0xb884;io_shiftkey
148;0xb884;io_shiftkey
149;0xb884;io_shiftkey
150;0xb770;setphysic
151;0xb7ee;SYS_GetMouse
152;0xb812;SYS_Joystick
153;0xb884;io_shiftkey
154;0xb884;io_shiftkey
155;0xb884;io_shiftkey
156;0xb7ee;SYS_GetMouse
157;0xb812;SYS_Joystick
158;0xb884;io_shiftkey
159;0xb884;io_shiftkey
160;0xb884;io_shiftkey
161;0xb7ee;SYS_GetMouse
162;0xb812;SYS_Joystick
163;0xb884;io_shiftkey
164;0xb884;io_shiftkey
165;0xb884;io_shiftkey
166;0xb770;setphysic
167;0xb7ee;SYS_GetMouse
168;0xb812;SYS_Joystick
169;0xb884;io_shiftkey
170;0xb884;io_shiftkey
171;0xb884;io_shiftkey
172;0xb7ee;SYS_GetMouse
173;0xb812;SYS_Joystick
174;0xb884;io_shiftkey
175;0xb884;io_shiftkey
176;0xb884;io_shiftkey
177;0xb7ee;SYS_GetMouse
178;0xb812;SYS_Joystick
179;0xb884;io_shiftkey
180;0xb884;io_shiftkey
181;0xb884;io_shiftkey
182;0xb770;setphysic
183;0xb7ee;SYS_GetMouse
184;0xb812;SYS_Joystick
185;0xb884;io_shiftkey
186;0xb884;io_shiftkey
187;0xb884;io_shiftkey
188;0xb7ee;SYS_GetMouse
189;0xb812;SYS_Joystick
190;0xb884;io_shiftkey
191;0xb884;io_shiftkey
192;0xb884;io_shiftkey
193;0xb7ee;SYS_GetMouse
194;0xb812;SYS_Joystick
195;0xb884;io_shiftkey
196;0xb884;io_shiftkey
197;0xb884;io_shiftkey
198;0xb770;setphysic
199;0xb7ee;SYS_GetMouse
200;0xb812;SYS_Joystick
201;0xb884;io_shiftkey
202;0xb884;io_shiftkey
203;0xb884;io_shiftkey
204;0xb7ee;SYS_GetMouse
205;0xb812;SYS_Joystick
206;0xb884;io_shiftkey
207;0xb884;io_shiftkey
208;0xb884;io_shiftkey
209;0xb7ee;SYS_GetMouse
210;0xb812;SYS_Joystick
211;0xb884;io_shiftkey
212;0xb884;io_shiftkey
213;0xb884;io_shiftkey
214;0xb770;setphysic
215;0xb7ee;SYS_GetMouse
216;0xb812;SYS_Joystick
217;0xb884;io_shiftkey
218;0xb884;io_shiftkey
219;0xb884;io_shiftkey
220;0xb7ee;SYS_GetMouse
221;0xb812;SYS_Joystick
222;0xb884;io_shiftkey
223;0xb884;io_shiftkey
224;0xb884;io_shiftkey
225;0xb7ee;SYS_GetMouse
226;0xb812;SYS_Joystick
227;0xb884;io_shiftkey
228;0xb884;io_shiftkey
229;0xb884;io_shiftkey
230;0xb770;setphysic
231;0xb7ee;SYS_GetMouse
232;0xb812;SYS_Joystick
233;0xb884;io_shiftkey
234;0xb884;io_shiftkey
235;0xb884;io_shiftkey
236;0xb7ee;SYS_GetMouse
237;0xb812;SYS_Joystick
238;0xb884;io_shiftkey
239;0xb884;io_shiftkey
240;0xb884;io_shiftkey
241;0xb7ee;SYS_GetMouse
242;0xb812;SYS_Joystick
243;0xb884;io_shiftkey
244;0xb884;io_shiftkey
245;0xb884;io_shiftkey
246;0xb770;setphysic
247;0xb7ee;SYS_GetMouse
248;0xb812;SYS_Joystick
249;0xb884;io_shiftkey
250;0xb884;io_shiftkey
251;0xb884;io_shiftkey
252;0xb7ee;SYS_GetMouse
253;0xb812;SYS_Joystick
254;0xb884;io_shiftkey
255;0xb884;io_shiftkey
256;0xb884;io_shiftkey
257;0xb7ee;SYS_GetMouse
258;0xb812;SYS_Joystick
259;0xb884;io_shiftkey
260;0xb884;io_shiftkey
261;0xb884;io_shiftkey
262;0xb770;setphysic
263;0xb7ee;SYS_GetMouse
264;0xb812;SYS_Joystick
265;0xb884;io_shiftkey
266;0xb884;io_shiftkey
267;0xb884;io_shiftkey
268;0xb7ee;SYS_GetMouse
269;0xb812;SYS_Joystick
270;0xb884;io_shiftkey
271;0xb884;io_shiftkey
272;0xb884;io_shiftkey
273;0xb7ee;SYS_GetMouse
274;0xb812;SYS_Joystick
275;0xb884;io_shiftkey
276;0xb884;io_shiftkey
277;0xb884;io_shiftkey
278;0xb770;setphysic
279;0xb7ee;SYS_GetMouse
280;0xb812;SYS_Joystick
281;0xb884;io_shiftkey
282;0xb884;io_shiftkey
283;0xb884;io_shiftkey
284;0xb7ee;SYS_GetMouse
285;0xb812;SYS_Joystick
286;0xb884;io_shiftkey
287;0xb884;io_shiftkey
288;0xb884;io_shiftkey
289;0xb7ee;SYS_GetMouse
290;0xb812;SYS_Joystick
291;0xb884;io_shiftkey
292;0xb884;io_shiftkey
293;0xb884;io_shiftkey
294;0xb770;setphysic
295;0xb7ee;SYS_GetMouse
296;0xb812;SYS_Joystick
297;0xb884;io_shiftkey
298;0xb884;io_shiftkey
299;0xb884;io_shiftkey
300;0xb7ee;SYS_GetMouse
301;0xb812;SYS_Joystick
302;0xb884;io_shiftkey
303;0xb884;io_shiftkey
304;0xb884;io_shiftkey
305;0xb7ee;SYS_GetMouse
306;0xb812;SYS_Joystick
307;0xb884;io_shiftkey
