opcode_idx;script_addr;opcode_kind;opcode_name;opcode_code;opcode_addr
0;0x2d290;OPCODE;cdefsc;0x46;0x139ca
1;0x2d2b4;OPCODE;cdefsc;0x46;0x139ca
2;0x2d2d8;OPCODE;cdim;0x29;0x15fea
3;0x2d2df;OPCODE;cdim;0x29;0x15fea
4;0x2d2e4;OPCODE;cdim;0x29;0x15fea
5;0x2d2e9;OPCODE;cdim;0x29;0x15fea
6;0x2d2ee;OPCODE;cdim;0x29;0x15fea
7;0x2d2f3;OPCODE;cdim;0x29;0x15fea
8;0x2d2f8;OPCODE;cdim;0x29;0x15fea
9;0x2d2fd;OPCODE;cdim;0x29;0x15fea
10;0x2d302;OPCODE;cdim;0x29;0x15fea
11;0x2d307;OPCODE;cdim;0x29;0x15fea
12;0x2d30e;OPCODE;cdim;0x29;0x15fea
13;0x2d313;OPCODE;cdim;0x29;0x15fea
14;0x2d318;OPCODE;cdim;0x29;0x15fea
15;0x2d31d;OPCODE;cdim;0x29;0x15fea
16;0x2d322;OPCODE;cdim;0x29;0x15fea
17;0x2d327;OPCODE;cdim;0x29;0x15fea
18;0x2d32c;OPCODE;cdim;0x29;0x15fea
19;0x2d331;OPCODE;cdim;0x29;0x15fea
20;0x2d336;OPCODE;cdim;0x29;0x15fea
21;0x2d33b;OPCODE;cdim;0x29;0x15fea
22;0x2d340;OPCODE;cdim;0x29;0x15fea
23;0x2d345;OPCODE;cdim;0x29;0x15fea
24;0x2d34a;OPCODE;cdim;0x29;0x15fea
25;0x2d34f;OPCODE;cdim;0x29;0x15fea
26;0x2d354;OPCODE;cdim;0x29;0x15fea
27;0x2d359;OPCODE;cdim;0x29;0x15fea
28;0x2d35e;OPCODE;cdim;0x29;0x15fea
29;0x2d363;OPCODE;cdim;0x29;0x15fea
30;0x2d368;OPCODE;cdim;0x29;0x15fea
31;0x2d36d;OPCODE;cdim;0x29;0x15fea
32;0x2d372;OPCODE;cdim;0x29;0x15fea
33;0x2d377;OPCODE;cdim;0x29;0x15fea
34;0x2d37c;OPCODE;cdim;0x29;0x15fea
35;0x2d381;OPCODE;cdim;0x29;0x15fea
36;0x2d386;OPCODE;cdim;0x29;0x15fea
37;0x2d38b;OPCODE;cdim;0x29;0x15fea
38;0x2d392;OPCODE;cdim;0x29;0x15fea
39;0x2d397;OPCODE;cdim;0x29;0x15fea
40;0x2d39c;OPCODE;cdim;0x29;0x15fea
41;0x2d3a1;OPCODE;cdim;0x29;0x15fea
42;0x2d3a6;OPCODE;cdim;0x29;0x15fea
43;0x2d3ab;OPCODE;cdim;0x29;0x15fea
44;0x2d3b0;OPCODE;cdim;0x29;0x15fea
45;0x2d3b5;OPCODE;cdim;0x29;0x15fea
46;0x2d3ba;OPCODE;cdim;0x29;0x15fea
47;0x2d3bf;OPCODE;cdim;0x29;0x15fea
48;0x2d3c4;OPCODE;cdim;0x29;0x15fea
