INDEX;OPCODES;OPERNAMES;STORENAMES;ADDNAMES;CODESC1NAME
0;cnul;oimmb;cnul;cnul;cnul
1;cesc1;oimmw;cnul;cnul;consound
2;cesc2;oimmp;cnul;cnul;coffsound
3;cesc3;olocb;slocb;alocb;conmusic
4;cbreakpt;olocw;slocw;alocw;coffmusic
5;cjsr8;olocp;slocp;alocp;cdelfilm
6;cjsr16;oloctp;sloctp;aloctp;copenfilm
7;cjsr24;oloctc;sloctc;aloctc;
8;cjmp8;olocti;slocti;alocti;
9;cjmp16;odirb;sdirb;adirb;
10;cjmp24;odirw;sdirw;adirw;
11;cjsrabs;odirp;sdirp;adirp;
12;cjmpabs;odirtp;sdirtp;adirtp;
13;cjsrind16;odirtc;sdirtc;adirtc;
14;cjsrind24;odirti;sdirti;adirti;
15;cjmpind16;omainb;smainb;amainb;
16;cjmpind24;omainw;smainw;amainw;
17;cret;omainp;smainp;amainp;
18;cbz8;omaintp;smaintp;amaintp;
19;cbz16;omaintc;smaintc;amaintc;
20;cbz24;omainti;smainti;amainti;
21;cbnz8;ohimb;shimb;ahimb;
22;cbnz16;ohimw;shimw;ahimw;
23;cbnz24;ohimp;shimp;ahimp;
24;cbeq8;ohimtp;shimtp;ahimtp;
25;cbeq16;ohimtc;shimtc;ahimtc;
26;cbeq24;ohimti;shimti;ahimti;
27;cbne8;opile;spile;spile;
28;cbne16;oeval;seval;aeval;
29;cbne24;ofin;ofin;ofin;
30;cstore;cnul;;;
31;ceval;cnul;;;
32;cadd;opushacc;;;
33;csub;oand;;;
34;cmul;oor;;;
35;cdiv;oxor;;;
36;cvprint;oeqv;;;
37;csprinti;oegal;;;
38;csprinta;odiff;;;
39;clocate;oinfeg;;;
40;ctab;osupeg;;;
41;cdim;oinf;;;
42;crandom;osup;;;
43;cloop8;oadd;;;
44;cloop16;osub;;;
45;cloop24;omod;;;
46;cswitch1;odiv;;;
47;cswitch2;omul;;;
48;cstart8;oneg;;;
49;cstart16;oabs;;;
50;cstart24;ornd;;;
51;cleave;osgn;;;
52;cprotect;onot;;;
53;casleep;oinkey;;;
54;cclock;okeyon;;;
55;cnul;ojoy;;;
56;cscmov;oprnd;;;
57;cscset;oscan;;;
58;cclipping;oshiftkey;;;
59;cswitching;ofree;;;
60;cwlive;omodel;;;
61;cunload;ogetkey;;;
62;cwakeup;oleft;;;
63;csleep;oright;;;
64;clive;omid;;;
65;ckill;olen;;;
66;cstop;oasc;;;
67;cstopret;ostr;;;
68;cexit;osadd;;;
69;cload;osegal;;;
70;cdefsc;osdiff;;;
71;cscreen;osinfeg;;;
72;cput;ossupeg;;;
73;cputnat;osinf;;;
74;cerase;ossup;;;
75;cerasen;ospushacc;;;
76;cset;ospile;;;
77;cmov;oval;;;
78;copensc;oexistf;;;
79;cclosesc;ochr;;;
80;cerasall;ochange;;;
81;cforme;ocountry;;;
82;cdelforme;omip;;;
83;ctstmov;ojoykey;;;
84;ctstset;oconfig;;;
85;cftstmov;;;;
86;cftstset;;;;
87;csuccent;;;;
88;cpredent;;;;
89;cnearent;;;;
90;cneartyp;;;;
91;cnearmat;;;;
92;cviewent;;;;
93;cviewtyp;;;;
94;cviewmat;;;;
95;corient;;;;
96;crstent;;;;
97;csend;;;;
98;cscanon;;;;
99;cscanoff;;;;
100;cinteron;;;;
101;cinteroff;;;;
102;cscanclr;;;;
103;callentity;;;;
104;cpalette;;;;
105;cdefcolor;;;;
106;ctiming;;;;
107;czap;;;;
108;cexplode;;;;
109;cding;;;;
110;cnoise;;;;
111;cinitab;;;;
112;cfopen;;;;
113;cfclose;;;;
114;cfcreat;;;;
115;cfdel;;;;
